name,handle_or_email,url,niche,observed_problem,offer,status,next_followup,notes
Stratis Pantoylas ✦,@strat_pantoulas,https://x.com/strat_pantoulas/status/2049266328461025336,Gumroad web app + free Figma template,0 sales after 48h; explicitly says distribution > product,AI Business Audit,not contacted,,Specific angle: audit offer/audience mismatch + distribution system
Indie Saint Claire,@Indie_claire,https://x.com/Indie_claire/status/2049341074481586199,Gumroad seller / indie maker,Asking whether to change offer or audience after 0 sales,AI Business Audit,not contacted,,Specific angle: answer with public mini-framework; invite mini-audit
Aman · building Resyl,@maiiamanhu,https://x.com/maiiamanhu/status/2048768668595831129,AI/digital product builder,0 Gumroad sales after a month; frustration post got engagement,AI Business Audit,not contacted,,Specific angle: conversion + positioning diagnosis
Akshit Jain,@Akshjain99,https://x.com/Akshjain99/status/2048801741026869579,AI-made product seller,Months of 0 sales; doubts why people buy AI-made products,AI Business Audit,not contacted,,Specific angle: product differentiation and proof
Hubert Simpson,@HubertBSimpson,https://x.com/HubertBSimpson/status/2048137902266445937,Healthcare professional selling ebook,"31 views, 0 sales after launching ebook on Gumroad/Etsy/Amazon",AI Business Audit,not contacted,,Specific angle: healthcare niche positioning and channel focus
Manu R,@manubuildstoday,https://x.com/manubuildstoday/status/2047743935800623505,ADHD productivity system,0 sales on Gumroad; product for ADHD adults,AI Business Audit,not contacted,,Specific angle: sharper ICP and proof/landing page
nissy_design,@nissy_design4,https://x.com/nissy_design4/status/2049451723631292467,Restaurant/cafe HTML template,Newly launched Gumroad template; needs distribution to restaurant/cafe buyers,Founder Content Engine,not contacted,,Specific angle: creator is selling template but audience needs buyer-specific content
january,@19jan01,https://x.com/19jan01/status/2047832686396354642,Developer portfolio template,Launched Stardew-inspired portfolio template; some impressions/likes,Founder Content Engine,not contacted,,Specific angle: product has strong visual hook; needs repeatable content engine
Harman | Building in Public,@harmanbuilds,https://x.com/harmanbuilds/status/2049741792007114767,Build-in-public / validation advice,Posted about 6-week product launch with 0 sales; likely understands/audience fit for audit conversation,AI Business Audit,not contacted,,Angle: engage with validation-first point; offer AI audit as validation shortcut
Kevin S. Parrish,@KevinSParrish1,https://x.com/KevinSParrish1/status/2048305293575266798,Comic creator / Gumroad seller,Getting Gumroad views but wants sales,AI Business Audit,not contacted,,Angle: conversion diagnosis for creative product page + audience channel
Halil Ibrahim Tutuncu,@ibrahimtutuncu,https://x.com/ibrahimtutuncu/status/2048120021545533773,Digital product/Gumroad observer,Posts about Gumroad sequence being wrong; potential collaborator or audience amplifier,AI Business Audit / collaboration,not contacted,,Angle: thoughtful reply with agent challenge + ask for critique
